distance,image_a,image_b,sha256_a,sha256_b,exact_duplicate,dataset_a,dataset_b,subset_a,subset_b,crop_a,crop_b
0,datasets\raw\Banana\AugmentedSet\cordana\323_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\12.jpeg,c4ceff37df192670baffa402689502a892658cda5f21c8635ac8dc166bfd7952,e9315785da4bdf25094d285d1033623586fa6541587cae61b12fb46bcb90328b,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\331_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\15.jpeg,943c19007ef352b12d1ada772e956d7fcbbc77e13d590756d602aa21b11c1f1e,12e6e0049a19e7d22f4656f51afcb1cb73e75a955165ef03de3cff6780acc51b,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\360_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\91.jpeg,5fb1000155d5923445d3bb0a9755fdb7719f2940b569ca26312baa773cd484c5,80e71d32486c1dcebb0d0db322f4bd9d1a95fca6051bdaaa99a2421272b7e791,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\366_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\4.jpeg,544f3d57fe9f2970192c9738cfa9c6a4e2c17af195b9f007580b55b0a18e2252,237c8c0ea3cb39c7bd3763776f3fde88422df5a0c421dc3cd6c1847008f6bcdf,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\376_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\83.jpeg,330f4adea95df24b63c01ae68548f1f41880f5b12eeb4fa74f5a1411c111b9fe,34e484735f8b69cdb38dd49f247aebd78a50a48281acde0256035870df3e693c,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\6_aug.jpeg,datasets\raw\Banana\AugmentedSet\cordana\8_aug.jpeg,4c7bd2583fbf63f1b8cc3aa0622bc76cd4e1c8929916307fc2325250bc40a909,4c7bd2583fbf63f1b8cc3aa0622bc76cd4e1c8929916307fc2325250bc40a909,YES,Banana,Banana,Augmented,Augmented,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\6_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\1.jpeg,4c7bd2583fbf63f1b8cc3aa0622bc76cd4e1c8929916307fc2325250bc40a909,bc9fa1fc870eb66534567496b5d0ff93db9bc34e9741e13b6476180073f0ce02,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\8_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\1.jpeg,4c7bd2583fbf63f1b8cc3aa0622bc76cd4e1c8929916307fc2325250bc40a909,bc9fa1fc870eb66534567496b5d0ff93db9bc34e9741e13b6476180073f0ce02,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\83_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\90.jpeg,7c9b6a7d4a7121514b8510ca131552f6ce270091180106af2f4f9b340e31e1f0,1cfd68830f0e4db273e8a22b8f81e212b3733aa3fe63a0a896fe1a1c29ae8f71,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\cordana\95_aug.jpeg,datasets\raw\Banana\OriginalSet\cordana\107.jpeg,a0930d2e2daa34f48aec32683bd9b9d549589a37f3024a8597324f5eed7676ab,db4182299b28f0b11ae8b24f8b04209a1f722366dded3d6cf3ce480752ab9180,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\127_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\32.jpeg,842e28a4d0504eb4ee48b2f8834c16767afc1ea30892415198c0dc9d16596bee,67f8bea13f01cc204c6d3f236c9cbc46a0aec1058f50b219833650bb5557b593,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\127_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\38.jpeg,842e28a4d0504eb4ee48b2f8834c16767afc1ea30892415198c0dc9d16596bee,67f8bea13f01cc204c6d3f236c9cbc46a0aec1058f50b219833650bb5557b593,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\OriginalSet\healthy\32.jpeg,datasets\raw\Banana\OriginalSet\healthy\38.jpeg,67f8bea13f01cc204c6d3f236c9cbc46a0aec1058f50b219833650bb5557b593,67f8bea13f01cc204c6d3f236c9cbc46a0aec1058f50b219833650bb5557b593,YES,Banana,Banana,Original,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\130_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\150_aug.jpeg,302559ca8832983a8fcd031dd49be002f31d1d42484f601ca9aaa7290950cea4,302559ca8832983a8fcd031dd49be002f31d1d42484f601ca9aaa7290950cea4,YES,Banana,Banana,Augmented,Augmented,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\130_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\151_aug.jpeg,302559ca8832983a8fcd031dd49be002f31d1d42484f601ca9aaa7290950cea4,302559ca8832983a8fcd031dd49be002f31d1d42484f601ca9aaa7290950cea4,YES,Banana,Banana,Augmented,Augmented,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\130_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\33.jpeg,302559ca8832983a8fcd031dd49be002f31d1d42484f601ca9aaa7290950cea4,faef435772a1194e64d05d134c8d9b3a9e8fd4a3659acf7da2f420a05421e3cc,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\130_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\36.jpeg,302559ca8832983a8fcd031dd49be002f31d1d42484f601ca9aaa7290950cea4,faef435772a1194e64d05d134c8d9b3a9e8fd4a3659acf7da2f420a05421e3cc,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\150_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\151_aug.jpeg,302559ca8832983a8fcd031dd49be002f31d1d42484f601ca9aaa7290950cea4,302559ca8832983a8fcd031dd49be002f31d1d42484f601ca9aaa7290950cea4,YES,Banana,Banana,Augmented,Augmented,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\150_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\33.jpeg,302559ca8832983a8fcd031dd49be002f31d1d42484f601ca9aaa7290950cea4,faef435772a1194e64d05d134c8d9b3a9e8fd4a3659acf7da2f420a05421e3cc,NO,Banana,Banana,Augmented,Original,Banana,Banana
0,datasets\raw\Banana\AugmentedSet\healthy\150_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\36.jpeg,302559ca8832983a8fcd031dd49be002f31d1d42484f601ca9aaa7290950cea4,faef435772a1194e64d05d134c8d9b3a9e8fd4a3659acf7da2f420a05421e3cc,NO,Banana,Banana,Augmented,Original,Banana,Banana
