distance,image_a,image_b,crop_a,crop_b,dataset_a,dataset_b,review_priority
0,datasets\raw\Banana\AugmentedSet\healthy\150_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\151_aug.jpeg,Banana,Banana,augmented,augmented,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\150_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\33.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\150_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\36.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\151_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\33.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\151_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\36.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\33.jpeg,datasets\raw\Banana\OriginalSet\healthy\36.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\136_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\145_aug.jpeg,Banana,Banana,augmented,augmented,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\154_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\37.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\181_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\269_aug.jpeg,Banana,Banana,augmented,augmented,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\181_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\42.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\181_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\6.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\269_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\42.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\269_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\6.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\42.jpeg,datasets\raw\Banana\OriginalSet\healthy\6.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\190_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\31_aug.jpeg,Banana,Banana,augmented,augmented,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\22_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\13.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\22_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\43.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\13.jpeg,datasets\raw\Banana\OriginalSet\healthy\43.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\233_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\53.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\236_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\77_aug.jpeg,Banana,Banana,augmented,augmented,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\236_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\23.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\236_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\54.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\77_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\23.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\77_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\54.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\23.jpeg,datasets\raw\Banana\OriginalSet\healthy\54.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\257_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\258_aug.jpeg,Banana,Banana,augmented,augmented,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\257_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\19.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\257_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\58.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\258_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\19.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\258_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\58.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\OriginalSet\healthy\19.jpeg,datasets\raw\Banana\OriginalSet\healthy\58.jpeg,Banana,Banana,original,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\280_aug.jpeg,datasets\raw\Banana\AugmentedSet\healthy\281_aug.jpeg,Banana,Banana,augmented,augmented,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\314_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\40.jpeg,Banana,Banana,augmented,original,HIGH
0,datasets\raw\Banana\AugmentedSet\healthy\314_aug.jpeg,datasets\raw\Banana\OriginalSet\healthy\7.jpeg,Banana,Banana,augmented,original,HIGH
